date,reward,open_0,high_0,low_0,close_0,vol_0,adj_close_0,open_1,high_1,low_1,close_1,vol_1,adj_close_1,open_2,high_2,low_2,close_2,vol_2,adj_close_2,open_3,high_3,low_3,close_3,vol_3,adj_close_3,ma_5,ma_10,ma_20,ma_60
2006-01-09,-0.534319769831,2354,2373,2353,2369,127926400,2369,2383,2396,2382,2384,215817400,2384,2392,2414,2392,2403,207309000,2403,2407,2423,2401,2420,172833800,2420,2394.5,2394.5,2394.5,2394.5
2006-01-11,0.0409836065574,2383,2396,2382,2384,215817400,2384,2392,2414,2392,2403,207309000,2403,2407,2423,2401,2420,172833800,2420,2423,2433,2421,2425,173627600,2425,2400.797998,2400.797998,2400.797998,2400.797998
2006-01-12,-0.0824742268041,2392,2414,2392,2403,207309000,2403,2407,2423,2401,2420,172833800,2420,2423,2433,2421,2425,173627600,2425,2435,2440,2414,2418,219082800,2418,2410.653955,2403.77331533,2403.77331533,2403.77331533
2006-01-13,0.538302277433,2407,2423,2401,2420,172833800,2420,2423,2433,2421,2425,173627600,2425,2435,2440,2414,2418,219082800,2418,2423,2425,2403,2407,182041200,2407,2415.301953,2404.28853929,2404.28853929,2404.28853929
2006-01-16,0.290095317033,2423,2433,2421,2425,173627600,2425,2435,2440,2414,2418,219082800,2418,2423,2425,2403,2407,182041200,2407,2410,2415,2401,2405,263162600,2405,2415.7239744,2404.48498525,2404.48498525,2404.48498525
2006-01-17,0.497512437811,2435,2440,2414,2418,219082800,2418,2423,2425,2403,2407,182041200,2407,2410,2415,2401,2405,263162600,2405,2407,2413,2398,2401,159713200,2401,2411.8159666,2404.11998144,2404.11998144,2404.11998144
2006-01-18,2.10526315789,2423,2425,2403,2407,182041200,2407,2410,2415,2401,2405,263162600,2405,2407,2413,2398,2401,159713200,2401,2402,2412,2374,2376,218903000,2376,2402.0099608,2401.4039794,2401.4039794,2401.4039794
2006-01-19,1.34284515317,2410,2415,2401,2405,263162600,2405,2407,2413,2398,2401,159713200,2401,2402,2412,2374,2376,218903000,2376,2365,2375,2352,2359,233088800,2359,2390.1399902,2400.3969726,2397.57634936,2397.57634936
2006-01-20,1.50313152401,2407,2413,2398,2401,159713200,2401,2402,2412,2374,2376,218903000,2376,2365,2375,2352,2359,233088800,2359,2371,2383,2367,2378,182100200,2378,2384.3680176,2399.8349853,2395.98832192,2395.98832192
2006-01-23,2.14465937763,2402,2412,2374,2376,218903000,2376,2365,2375,2352,2359,233088800,2359,2371,2383,2367,2378,182100200,2378,2385,2395,2377,2388,175220800,2388,2380.9779786,2398.3509765,2395.44382885,2395.44382885
2006-01-24,1.59329140461,2365,2375,2352,2359,233088800,2359,2371,2383,2367,2378,182100200,2378,2385,2395,2377,2388,175220800,2388,2372,2378,2353,2364,158759200,2364,2373.7319826,2392.7739746,2393.26712471,2393.26712471
2006-01-25,2.09467951403,2371,2383,2367,2378,182100200,2378,2385,2395,2377,2388,175220800,2388,2372,2378,2353,2364,158759200,2364,2373,2385,2368,2368,155670600,2368,2372.004004,2387.0069824,2391.6039876,2391.6039876
2006-01-26,1.63316582915,2385,2395,2377,2388,175220800,2388,2372,2378,2353,2364,158759200,2364,2373,2385,2368,2368,155670600,2368,2375,2387,2374,2378,186491600,2378,2375.8719728,2383.0059815,2390.79373169,2390.79373169
2006-01-27,0.496688741722,2372,2378,2353,2364,158759200,2364,2373,2385,2368,2368,155670600,2368,2375,2387,2374,2378,186491600,2378,2380,2388,2375,2388,194336800,2388,2377.811963,2381.0899903,2390.642334,2390.642334
2006-01-30,0.912106135987,2373,2385,2368,2368,155670600,2368,2375,2387,2374,2378,186491600,2378,2380,2388,2375,2388,194336800,2388,2400,2416,2395,2412,279248200,2412,2382.4459962,2381.7119874,2391.83331978,2391.83331978
2006-01-31,1.78275290216,2375,2387,2374,2378,186491600,2378,2380,2388,2375,2388,194336800,2388,2400,2416,2395,2412,279248200,2412,2400,2412,2400,2412,279248200,2412,2391.8680176,2382.8000001,2392.89893863,2392.89893863
2006-02-01,1.19194410193,2380,2388,2375,2388,194336800,2388,2400,2416,2395,2412,279248200,2412,2400,2412,2400,2412,279248200,2412,2400,2412,2400,2412,279248200,2412,2400.6200196,2386.3120118,2393.8579956,2393.8579956
2006-02-02,0.857492854226,2400,2416,2395,2412,279248200,2412,2400,2412,2400,2412,279248200,2412,2400,2412,2400,2412,279248200,2412,2425,2433,2420,2431,239201600,2431,2411.240039,2393.5560059,2396.97648925,2395.6619001
